"address";"value"
"dZ2n5pMvviVjps7kJ4CYMniakSeDLjz4su";"172030.86998105"
"dR2w9841fiuy6HXwWtfiTbC2DqqzzoAE2P";"106773.39331236"
"dTbbYbU923TJ64chzdHMczPwSRpSnauDhf";"103867.33314373"
"dRbW951rnwwc9pDzb9CmAro6wfLTKtwXCN";"103051.52569937"
"dZxNHAd5wYShKoWYpEYQfUmTDQ8w3QJmLk";"102787.87483224"
"dL2s1HqYbegaKdVs3DTzbPRNyZLoQxtxwB";"93133.02560766"
"dKMLkMYVMGpCRTCLAXZEtZNwVnXJ2Sjf5U";"91186.42160791"
"dWYVfJB4f1oDEcNf4622syisief8FaB9RB";"90017.99704679"
"dQgov4Q9QoeLCTNox239RjwZgYgfp7CeRT";"89008.88070702"
"dbNwiA6Yn9PW5oNjuTXsKmVaxaAmrf4W29";"86370.15960203"
"dQisRrwuBWqEgLBsxHYeyJqwjS6r39LXSr";"84593.69391734"
"dSV2PaouE6FMUBGYbY3KKEGyagp4hRxbXY";"76316.05663649"
"dN561hKZT2TaXa1qupGFn5gbau1dciRDWu";"60563.84809814"
"dTGwomgW5EccNE3tcNxtnqQgr5JHogmv6n";"59536.22827101"
"dJKhVrYPRYzwibp8gVgsiayi83GKPmPgUN";"55593.7404303"
"dYPBSRY5EZMCF4oyoUF633z44cCEdTic1Y";"51493.00923531"
"dQ1zRGiyuafmH68fR2dA8t7rU8vRaUovzc";"44700.00000001"
"dPZCvVCY9CseU5bhro4Hufh94K27XpMTf7";"33853.12596127"
"dN5Uw5EJYApoaJqXqwFuq7oV2fe4pqim88";"31468.87722764"
"dN85tVrbW1nt5DqQW2wrTKznLj5457kun6";"28980.42059177"
"dYYt7NAxiJ8gVmRFachRCAjFTGiHy7g7pW";"27960.00000001"
"dSMNoC4RUcNrhdBmcQXc75cjehoYAjhc2v";"25728.11548724"
"dR4cSarv6n3sKUehk1pgF1LVaEvfDjkghC";"24491.72021638"
"dDtxg2QXrgho3g68zvRoVoPegLSkM7fCRV";"24256.87325419"
"dY3wJxiQEW4BozbeKwRP4h8FgfQVzX6Luy";"21696.94110517"
"dZbH4cjsppPxxAZ4Db2TVghVGJpjeHzMg6";"21526.33032451"
"dHCgz9pAY1ihrgDYgGr1M2s4XbhFsgW1aZ";"20704.52165526"
"dQxRzzz1Ae8J46V7KGhvSrbngTodtp5fp7";"20250.25309979"
"dWAcYwxKiucQDjZ7H3dQhZ6T15L9vQPa6s";"19964.77662773"
"dQh5HeQazwcHXLW63hVBRACUVzsZ9NBjaV";"18210.60202511"
"dFrqNGxc65eWngmok2z6i1gewzpRAuzfoq";"17217.45480048"
"dXvwEa7wJBtyzBGs85yDZxY6eyMGMyc8nJ";"16956.67010935"
"dY1pvVNAfugrEHGqsPFBoFiKVtTd9b7C7K";"16937.92687362"
"dbx5An3D6BpRxREgRFjXvzioypNMXXBa1r";"16272.94099326"
"dShzhv5VFnR6MHsX3gfQY9kXfiiwX6srx6";"16016.37164751"
"dLsrAMGWMAEydeBst3hWJ7K4hDAq2AqrJT";"15563.77120226"
"dZSDhA8JLPpRLvbLeAwDbVsJtAzVnDy6Yd";"15321.3422365"
"dGbemhDX42WM6q32hir4Udo3Fghhw5V91b";"13448.72947935"
"da6Bun6VksqGAJnTA3JYMrV5wshFX2v6Tc";"13236.31929041"
"dJV7EmSZjS6oknjQKNBSX76Vfshan1HRgp";"13181.50438179"
"dbnDAZxhhQGfZY4KEMDjREzoL5WSXCNCbK";"13012.36498227"
"dSekVow8PvDgoSecrJEdAWHwwUeqqHigGt";"12922.83802352"
"daERWYLbYM6jW314Nx62DRLGXP1kiv1yRL";"12899.02183094"
"dK67huCV2Yiy7LvNwAthvuezDb8HvQw4jx";"12897.19700841"
"dbui8cmvYJuSBJA1u3uTGAXMPgRHWiaEkS";"12752.0283034"
"dNYLeS5YFA2hMGug4JnvyPzjxy6Hkk1kJH";"12703.88601421"
"dbnhwPwse7Ph6rrS2XQnuUdysa3rST7XHV";"12566.92454112"
"dPn67ua7gAnDdXwEoVKf246yMjP5FVMz8v";"12486.00955224"
"dQ7mD7XbBdvuY2dh3qCh2qyZtwYyesPDGf";"12446.70466706"
"dFX3ryYpQjZvD1cMCsxUzZJSkyxUMwSq6w";"12358.68124445"
"dDt2GXxn4yYSK5s4S4jxhX1UXJrzNqtV5Z";"12327.68071249"
"dFBkpDpBCys8LGph27hKdbVQP1M19w1eSN";"12222.59003331"
"dLYqjRXbzABogxMXAxV1nwmCBQuRjZxKgq";"12059.13239725"
"dFoG4FCmfmR6iBFDQeWnd9TSUwRf844ZAu";"11832.03754291"
"dVvYXDcVsJ8EoKcvMmy3GXxVDCGV1qpcaK";"11812.04262864"
"dQK3QF3Ud4sXa3KZDbzmzYtJL1Mf76Bm6R";"11398.75554179"
"dUHVaC21N8sSAtfTCs3jaxH7KusKQfAC6M";"11223.71491776"
"dG1keyx7p7MJsLt4atQGNV7tGoyidPhQMd";"11202.50962796"
"daUNkVFR5R6QXHp39tAxtyEdaE44ZmjxPf";"11189.07386936"
"dM2XKnnZ3VSYA7YhKmY8UbXYqbG5Ty7TbH";"11182.98003331"
"dNN6Xr81hEecJu4LC46n9xm5TCPUD4j82z";"11178.67728291"
"dHLoLnBYbkmBoEi2TxnRQUshEVyX9ymwjh";"11177.04014221"
"dYTw5eZ5jVZEXu85korfrENpSSnjn63eqa";"11173.73106231"
"dFYJvmqJM1FuknPuMgABzMgxnogWzd84Em";"11151.18263851"
"dDY8JSjf8QegaVjEhLM7sNTD5cyW7CDD2f";"11140.63901056"
"daQ44E2z8a3UsY8TYbEE8voskEYt1gixdM";"11074.21380171"
"dFFNXQ3fBVzM5TqFAFsPmTvVvEQevGcZDJ";"11015.119872"
"dJrorZtbmNU3DZrofNceSnzU7QvomNmy79";"11008.72201291"
"dbykNozdbupCWifvegYULTDj5F1we7Bd4g";"11004.9235441"
"dM2hQBxakofwf6rqLUudDZGfZL1aiXQKNE";"11000.19454203"
"dPBo3LvCvRzjK2YmBgz7tbEPaqhaGnMcwz";"10998.39805016"
"dYUMZQTSEyWM8NAvqMcMNzT9kvQDvBNi2Q";"10996.93237241"
"dRiLwgQYbwFLhBeQvATnBe8M6xpyRaVJmB";"10994.89213851"
"dEnPMThtevDKrdmp4Pedkzu4GmwBdo5udw";"10994.70340486"
"dHfQHni9fQqWAkV2d5dKz6RQGZ4y2hh6C5";"10919.15092682"
"dcBPZwtTt35LicnqwBFJ6JMWEtg3WvRjt7";"10874.71778705"
"db9qU3xn2GREzu43SUSpgALjx6YWB8ko8v";"10835.98512587"
"dZTEMvLjwWjtiH3k1LCCX2soLXhQcUDLyZ";"10826.90173821"
"dPT4XP9PtmqTcJT2sJxYjmpSd8EgU7JG9D";"10821.19658271"
"dZV7TFYSPH1gYUbQBpPdXxbaGHqZwHB9dJ";"10810.24225415"
"dLgDfmmqMYsjL4RErF7CRvWd2A8rcauJPh";"10805.56903272"
"dFL6gDujMx94XeFgPoFc3msmcA4dnS1TxB";"10667.10000001"
"dcchyfHMM6zvjtG2xmfKHu1dYwrfQHFdsc";"10645.57309298"
"dKWLKYs1SQS3HKB8KGYGVfD8bhXAWQH1FK";"10616.87413811"
"dQUmrqEYqwYyirMPJSMHWZJUNYh4dEgwE6";"10615.03129221"
"dJEn69FLg3LyTmKc6WjF7f47WePUPXxqHw";"10610.14249869"
"dVkzqyf4PnWrQXVEE3S5192QVqvHeAomh2";"10569.36269224"
